variable_name,row_label,col_label,2020,2025
K,,,1,1.08014379147984
L,,,1,0.980784238701728
GDPreal,,,1,1.07738883565065
wI,,,1,1.08179204930179
bKLj,AGRICULTURE,,1,1.1592740743
bKLj,MANUFACTURE,,1,1.17393426792816
bKLj,SERVICES,,1,1.02287650573635
bKLj,STEEL,,1,1.17393426792816
bKLj,CHEMICAL,,1,1.17393426792816
bKLj,ENERGY,,1,1
bKLj,TRANSPORTATION,,1,1.02287650573635
E_vol,HOUSEHOLDS,B,1,1.03264201437659
E_vol,HOUSEHOLDS,T,1,0.9423189758176
rhoE,AGRICULTURE,B,1,1.05217777899331
rhoE,MANUFACTURE,B,1,1.05217777899331
rhoE,SERVICES,B,1,1.05217777899331
rhoE,STEEL,B,1,1.05217777899331
rhoE,CHEMICAL,B,1,1.05217777899331
rhoE,ENERGY,B,1,1.05217777899331
rhoE,TRANSPORTATION,B,1,1.05217777899331
rhoE,HOUSEHOLDS,B,1,1.05217777899331
rhoE,AGRICULTURE,T,1,1.07156090044756
rhoE,MANUFACTURE,T,1,1.07156090044756
rhoE,SERVICES,T,1,1.07156090044756
rhoE,STEEL,T,1,1.07156090044756
rhoE,CHEMICAL,T,1,1.07156090044756
rhoE,ENERGY,T,1,1.07156090044756
rhoE,TRANSPORTATION,T,1,1.07156090044756
rhoE,HOUSEHOLDS,T,1,1.07156090044756
rhoE,AGRICULTURE,P,1,1.07759379499283
rhoE,MANUFACTURE,P,1,1.07759379499283
rhoE,SERVICES,P,1,1.07759379499283
rhoE,STEEL,P,1,1.07759379499283
rhoE,CHEMICAL,P,1,1.07759379499283
rhoE,ENERGY,P,1,1.07759379499283
rhoE,TRANSPORTATION,P,1,1.07759379499283
rhoE,HOUSEHOLDS,P,1,1.07759379499283
lambda_KLM,,,1,1.41770007510935
pXj,SERVICES,,1,1
pXj,ENERGY,,1,1.06310657578991
pMj,ENERGY,,1,1.06310657578991
Xj,ENERGY,,1,0.084720783606935
Mj,ENERGY,,1,0.754062943491478
